paper_id,author_id,corresponding
f9c602cc436a9ea2f9e7db48c77d924e09ce3c32,145642373.0,True
f9c602cc436a9ea2f9e7db48c77d924e09ce3c32,4565995.0,False
f9c602cc436a9ea2f9e7db48c77d924e09ce3c32,2742129.0,False
4954fa180728932959997a4768411ff9136aac81,2057642721.0,True
4954fa180728932959997a4768411ff9136aac81,144758007.0,False
4954fa180728932959997a4768411ff9136aac81,2108406634.0,False
4954fa180728932959997a4768411ff9136aac81,2545358.0,False
4954fa180728932959997a4768411ff9136aac81,36347083.0,False
4954fa180728932959997a4768411ff9136aac81,49959210.0,False
4954fa180728932959997a4768411ff9136aac81,145139947.0,False
4954fa180728932959997a4768411ff9136aac81,1780892.0,False
4954fa180728932959997a4768411ff9136aac81,2060655766.0,False
4954fa180728932959997a4768411ff9136aac81,2090818.0,False
4954fa180728932959997a4768411ff9136aac81,1942300.0,False
4954fa180728932959997a4768411ff9136aac81,3369421.0,False
4954fa180728932959997a4768411ff9136aac81,3089272.0,False
4954fa180728932959997a4768411ff9136aac81,144375552.0,False
4954fa180728932959997a4768411ff9136aac81,20154699.0,False
4954fa180728932959997a4768411ff9136aac81,32163737.0,False
4954fa180728932959997a4768411ff9136aac81,2080690.0,False
4954fa180728932959997a4768411ff9136aac81,2053781980.0,False
4954fa180728932959997a4768411ff9136aac81,47941411.0,False
4954fa180728932959997a4768411ff9136aac81,35078078.0,False
4954fa180728932959997a4768411ff9136aac81,2117163698.0,False
4954fa180728932959997a4768411ff9136aac81,2108113547.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,2057642721.0,True
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,2078528337.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,144758007.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,2445241.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,2545358.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,48738717.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,32131713.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,36347083.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,49959210.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,145139947.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,1780892.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,153440022.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,2064102917.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,2060655766.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,2090818.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,39978391.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,1944541.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,40527594.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,1942300.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,3369421.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,30415265.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,3089272.0,False
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,144375552.0,False
